Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Dahrran Diedrick,RB,Nebraska,6-0,228.0,4.62,37.0,19.0,117.0,7.32,4.44,2003,72.0,1
Anthony Floyd,S,Louisville,5-9,202.0,4.6,33.5,19.0,117.0,7.09,4.2,2003,69.0,0
Jason Goss,CB,TCU,5-10,183.0,4.58,32.5,15.0,117.0,7.46,4.31,2003,70.0,0
DeJuan Groce,CB,Nebraska,5-10,192.0,4.49,36.0,18.0,118.0,6.82,4.0,2003,70.0,0
Ken Hamlin,S,Arkansas,6-2,209.0,4.61,33.0,16.0,117.0,6.8,3.92,2003,74.0,0
Dwone Hicks,RB,Middle Tennessee State,5-10,222.0,4.6,34.0,29.0,115.0,7.38,4.42,2003,70.0,1
Zach Hilton,TE,North Carolina,6-8,262.0,4.83,35.0,24.0,112.0,7.26,4.33,2003,80.0,1
Terrence Holt,S,North Carolina State,6-2,208.0,4.55,34.5,13.0,122.0,6.99,4.03,2003,74.0,0
Robert Johnson,TE,Auburn,6-6,278.0,4.96,33.5,18.0,115.0,7.15,4.47,2003,78.0,1
Todd Johnson,S,Florida,6-1,206.0,4.56,33.5,19.0,117.0,7.01,4.19,2003,73.0,0
Terrence Kiel,S,Texas A&M,5-11,204.0,4.46,38.0,16.0,127.0,6.88,3.96,2003,71.0,0
Donald Lee,TE,Mississippi State,6-3,249.0,4.82,39.0,26.0,120.0,7.42,4.42,2003,75.0,1
Michael Lehan,CB,Minnesota,6-0,196.0,4.48,34.5,13.0,119.0,6.95,4.15,2003,72.0,0
Norman LeJeune,S,LSU,6-0,200.0,4.65,33.5,11.0,115.0,7.42,4.21,2003,72.0,0
Nick Maddox,RB,Florida State,5-11,211.0,4.65,33.5,18.0,115.0,7.33,4.5,2003,71.0,1
Ricky Manning,CB,UCLA,5-9,185.0,4.52,36.5,12.0,117.0,7.11,4.17,2003,69.0,0
Rashean Mathis,S,Bethune-Cookman,6-1,202.0,4.45,38.5,22.0,123.0,7.09,4.17,2003,73.0,0
Terrence McGee,CB,NW State (LA),5-10,201.0,4.57,37.0,15.0,126.0,6.88,4.09,2003,70.0,0
Hanik Milligan,S,Houston,6-2,201.0,4.52,36.5,9.0,130.0,7.11,4.18,2003,74.0,0
Spencer Nead,TE,BYU,6-4,259.0,4.86,28.5,19.0,102.0,7.37,4.34,2003,76.0,1
Donnie Nickey,S,Ohio State,6-2,220.0,4.65,33.5,17.0,119.0,7.08,4.16,2003,74.0,0
Derek Pagel,S,Iowa,6-1,208.0,4.57,35.5,25.0,115.0,6.87,4.08,2003,73.0,0
Willie Pile,S,Virginia Tech,6-2,206.0,4.57,38.0,14.0,125.0,6.77,4.21,2003,74.0,0
Gabe Reid,TE,BYU,6-3,255.0,4.82,37.0,23.0,119.0,7.49,4.32,2003,75.0,1
Terrell Roberts,CB,Oregon State,5-9,203.0,4.63,34.0,18.0,117.0,7.12,4.26,2003,69.0,0
Asante Samuel,CB,Central Florida,5-11,185.0,4.49,35.5,9.0,120.0,6.95,4.14,2003,71.0,0
Antwoine Sanders,S,Utah,6-2,202.0,4.54,37.5,14.0,128.0,7.44,4.45,2003,74.0,0
Visanthe Shiancoe,TE,South Florida,6-4,251.0,4.65,39.5,28.0,120.0,7.09,4.31,2003,76.0,1
L.J. Smith,TE,Rutgers,6-3,258.0,4.62,37.0,26.0,122.0,6.74,4.25,2003,75.0,1
Trent Smith,TE,Oklahoma,6-5,243.0,4.79,35.5,16.0,118.0,7.23,4.37,2003,77.0,1
