Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in
Chad Johnson,WR,Oregon State,6-1,192.0,4.57,33.0,,108.0,7.51,4.14,2001,73.0
Rudi Johnson,RB,Auburn,5-10,227.0,4.57,37.5,24.0,119.0,7.32,4.22,2001,70.0
Lamont Jordan,RB,Maryland,5-10,234.0,4.57,,24.0,,,,2001,70.0
Bhawoh Jue,CB,Penn State,6-0,199.0,4.54,34.5,,113.0,7.21,4.27,2001,72.0
Kevin Kasper,WR,Iowa,6-0,199.0,4.42,43.5,,126.0,6.56,3.73,2001,72.0
Eric Kelly,CB,Kentucky,5-10,199.0,4.46,36.0,15.0,120.0,7.24,4.18,2001,70.0
Dave Klemic,WR,Northeastern (MA),5-11,188.0,4.37,36.5,,116.0,,,2001,71.0
Cleo Lemon,QB,Arkansas State,6-2,226.0,4.87,35.5,,106.0,7.33,4.27,2001,74.0
Arther Love,TE,South Carolina State,6-4,236.0,4.75,36.0,24.0,,,,2001,76.0
Brandon Manumaleuna,TE,Arizona,6-2,275.0,4.99,30.0,,106.0,7.49,4.26,2001,74.0
Justin McCareins,WR,Northern Illinois,6-2,209.0,4.51,41.0,,129.0,7.06,3.99,2001,74.0
Quentin McCord,WR,Kentucky,5-10,191.0,4.48,36.5,,112.0,7.17,4.18,2001,70.0
Marlon McCree,S,Kentucky,5-11,197.0,4.62,38.0,10.0,117.0,7.36,4.1,2001,71.0
Mike McMahon,QB,Rutgers,6-2,207.0,4.57,37.5,,124.0,7.12,4.12,2001,74.0
Shad Meier,TE,Kansas State,6-5,256.0,4.85,34.0,20.0,113.0,7.14,4.15,2001,77.0
Willie Middlebrooks,CB,Minnesota,6-2,200.0,4.5,,17.0,,,,2001,74.0
Romaro Miller,QB,Mississippi,6-0,205.0,4.61,35.0,,110.0,7.4,4.51,2001,72.0
Shawn Mills,WR,Southern Miss,6-0,180.0,4.51,34.5,,116.0,7.12,4.15,2001,72.0
Snoop Minnis,WR,Florida State,6-1,171.0,4.57,37.5,,115.0,7.06,4.07,2001,73.0
Travis Minor,RB,Florida State,5-10,197.0,4.44,32.0,9.0,115.0,,,2001,70.0
Freddie Mitchell,WR,UCLA,5-11,185.0,4.46,39.5,,120.0,6.95,4.06,2001,71.0
Keon Moore,CB,Southern Miss,5-11,193.0,4.56,37.5,10.0,119.0,7.06,4.2,2001,71.0
Leonard Myers,CB,Miami (FL),5-10,190.0,4.65,37.0,13.0,120.0,7.21,4.16,2001,70.0
Brian Natkin,TE,Texas-El Paso,6-2,251.0,4.95,27.0,20.0,98.0,7.78,4.59,2001,74.0
Steve Neal,WR,West. Michigan,6-1,190.0,4.59,36.0,,119.0,7.18,4.19,2001,73.0
Carl Nesmith,S,Kansas,6-2,223.0,4.95,31.5,5.0,112.0,,,2001,74.0
Bobby Newcombe,WR,Nebraska,5-10,195.0,4.53,37.0,,117.0,6.86,3.98,2001,70.0
Richard Newsome,S,Michigan State,5-11,203.0,4.59,,14.0,,,,2001,71.0
Dan O'Leary,TE,Notre Dame,6-4,252.0,5.02,32.0,16.0,113.0,7.4,4.31,2001,76.0
Ifeanyi Ohalete,S,USC,6-2,221.0,4.64,,16.0,,,,2001,74.0
Jesse Palmer,QB,Florida,6-2,231.0,4.78,35.5,,112.0,7.13,4.29,2001,74.0
Nate Poole,WR,Marshall,6-1,198.0,4.79,32.5,,112.0,7.26,4.22,2001,73.0
Ryan Prince,TE,Weber State,6-4,257.0,4.99,31.0,20.0,102.0,7.65,4.45,2001,76.0
David Rivers,QB,West. Carolina,6-3,223.0,4.73,31.5,,115.0,7.37,4.2,2001,75.0
Marcellus Rivers,TE,Oklahoma State,6-4,247.0,4.84,32.5,7.0,113.0,7.04,4.25,2001,76.0
Mike Roberg,TE,Idaho,6-4,256.0,4.75,34.5,16.0,117.0,7.28,4.4,2001,76.0
Sage Rosenfels,QB,Iowa State,6-4,228.0,4.74,34.0,,107.0,7.07,4.29,2001,76.0
Carey Scott,CB,Kentucky State,5-11,208.0,4.65,30.0,,113.0,7.52,4.18,2001,71.0
Marcel Shipp,RB,Massachusetts,5-11,222.0,4.71,32.5,18.0,115.0,,,2001,71.0
Dwight Smith,CB,Akron,5-10,212.0,4.51,33.5,15.0,114.0,,,2001,70.0
Steve Smith,WR,Utah,5-9,184.0,4.41,38.5,,121.0,7.44,4.25,2001,69.0
Russell Stewart,TE,Stanford,6-4,251.0,4.92,28.5,17.0,106.0,7.46,4.3,2001,76.0
Tony Stewart,TE,Penn State,6-5,256.0,4.96,35.5,,109.0,7.3,4.4,2001,77.0
Michael Stone,CB,Memphis,5-11,191.0,4.51,41.0,17.0,127.0,,,2001,71.0
Chris Taylor,WR,Texas A&M,5-11,183.0,4.4,35.5,,115.0,6.81,3.93,2001,71.0
Clevan Thomas,CB,Florida State,5-9,189.0,4.64,36.0,,118.0,7.42,4.24,2001,69.0
